Category,Description,Assigned_Team
Access,biometric login fail,Desktop Support
Network,network mtu mismatch,Network Team
Network,network hub failure,Network Team
Access,access monitoring disable,Desktop Support
Access,badge / physical access deny,Desktop Support
Security,suspicious endpoint alert,Security Team
Access,directory sync error,Desktop Support
Software,session timeout,Application Support
Hardware,printer ink cartridge error,Desktop Support
Hardware,battery charging,Desktop Support
Security,suspicious siem alert,Security Team
Software,configuration file miss,Application Support
Access,access policy violation,Desktop Support
Hardware,laptop screen pink tint,Desktop Support
Access,ldap authentication fail,Desktop Support
Network,network duplex mismatch,Network Team
Security,suspicious privilege misuse,Security Team
Access,smart card recognize,Desktop Support
Network,network ids alert,Network Team
Network,network syslog server,Network Team
Software,browser crash,Application Support
Network,voip call drop,Network Team
Access,access deny gateway,Desktop Support
Network,network collision detect,Network Team
Hardware,laptop screen horizontal line,Desktop Support
Network,ssid visible,Network Team
Access,access deny firewall,Desktop Support
Software,cloud sync failure,Application Support
Access,guest account disable,Desktop Support
Network,network unauthorized access,Network Team
Network,internet outage,Network Team
Access,license expire,Desktop Support
Network,network split horizon error,Network Team
Security,suspicious arp spoof,Security Team
Network,network static route error,Network Team
Security,data breach incident,Security Team
Hardware,usb hub recognize,Desktop Support
Security,trojan detect,Security Team
Software,patch conflict,Application Support
Security,unauthorized api call,Security Team
Network,cloud service unreachable,Network Team
Software,service start,Application Support
Network,port block,Network Team
Hardware,laptop screen blue tint,Desktop Support
Software,application crash uninstall,Application Support
Software,corrupt installation package,Application Support
Software,antivirus updating,Application Support
Access,login issue,Desktop Support
Network,qos misconfigured,Network Team
Hardware,peripheral compatibility issue,Desktop Support
Security,compromise credential,Security Team
Network,network cable damage,Network Team
Access,access deny application,Desktop Support
Security,unauthorized usb access,Security Team
Hardware,laptop screen vertical line,Desktop Support
Hardware,laptop screen white screen,Desktop Support
Access,access deny misconfiguration,Desktop Support
Network,cable unplug,Network Team
Security,suspicious vm activity,Security Team
Software,application crash install,Application Support
Hardware,fan noise issue,Desktop Support
Network,network packet sniffing detect,Network Team
Access,access deny hipaa policy,Desktop Support
Access,access deny pci policy,Desktop Support
Security,suspicious dns poisoning,Security Team
Access,sso login failure,Desktop Support
Network,network firewall overload,Network Team
Access,access deny network policy,Desktop Support
Software,cache corruption,Application Support
Access,access deny cis policy,Desktop Support
Hardware,laptop camera blurry,Desktop Support
Software,application registry corruption,Application Support
Access,access deny abac policy,Desktop Support
Hardware,blue screen hardware fault,Desktop Support
Security,suspicious man - in - the - middle attack,Security Team
Network,network policy violation,Network Team
Access,admin right request,Desktop Support
Security,suspicious rat detect,Security Team
Access,access deny rbac policy,Desktop Support
Network,network rip misconfigured,Network Team
Access,access deny mobile device policy,Desktop Support
Hardware,laptop screen green tint,Desktop Support
Access,share folder accessible,Desktop Support
Security,suspicious email attachment,Security Team
Security,suspicious port knock,Security Team
Software,application crash load,Application Support
Hardware,dock station issue,Desktop Support
Software,application crash macro,Application Support
Access,access deny browser policy,Desktop Support
Access,access deny certificate policy,Desktop Support
Network,network congestion,Network Team
Network,network acl blocking,Network Team
Software,application crash container start,Application Support
Access,access deny temporary restriction,Desktop Support
Access,access deny sox policy,Desktop Support
Access,multi - factor authentication failure,Desktop Support
Software,application crash save,Application Support
Access,account provision error,Desktop Support
Access,temporary access request,Desktop Support
Hardware,laptop screen refresh rate issue,Desktop Support
Access,access deny os policy,Desktop Support
Network,bgp misconfiguration,Network Team
Software,application crash vm shutdown,Application Support
Access,access deny conditional access,Desktop Support
Software,virtual machine crash,Application Support
Hardware,laptop keyboard backlight failure,Desktop Support
Hardware,laptop screen driver miss,Desktop Support
Hardware,printer issue,Desktop Support
Network,network ip address error,Network Team
Network,network nat misconfigured,Network Team
Access,access deny soc policy,Desktop Support
Software,script runtime error,Application Support
Software,application crash deploy,Application Support
Hardware,laptop touch screen working,Desktop Support
Software,application crash plugin,Application Support
Hardware,motherboard capacitor blow,Desktop Support
Hardware,laptop screen grayscale issue,Desktop Support
Security,suspicious custom policy violation,Security Team
Network,router reboot require,Network Team
Software,application crash analytic,Application Support
Access,access deny regulatory policy,Desktop Support
Software,macro execution error,Application Support
Security,suspicious cookie theft,Security Team
Software,application crash script,Application Support
Hardware,external gpu detect,Desktop Support
Security,privilege escalation attempt,Security Team
Security,suspicious audit log tampering,Security Team
Network,rout loop,Network Team
Access,access deny contractor policy,Desktop Support
Security,suspicious dns hijack,Security Team
Security,certificate expire,Security Team
Access,access deny system error,Desktop Support
Access,cloud account suspend,Desktop Support
Access,token expire,Desktop Support
Software,application freeze startup,Application Support
Network,arp conflict,Network Team
Software,spreadsheet formula error,Application Support
Network,network misroute traffic,Network Team
Security,suspicious schedule task,Security Team
Hardware,laptop screen cable loose,Desktop Support
Access,vpn login deny,Desktop Support
Network,network configuration drift,Network Team
Hardware,laptop screen connector failure,Desktop Support
Software,application crash login,Application Support
Network,network loop detect,Network Team
Access,temporary password expire,Desktop Support
Software,software dependency miss,Application Support
Software,application crash library,Application Support
Security,cross - site scripting detect,Security Team
Network,network arp poisoning,Network Team
Hardware,scanner calibration issue,Desktop Support
Access,access deny saas provider,Desktop Support
Security,phishe attempt report,Security Team
Network,switch port failure,Network Team
Network,network driver outdate,Network Team
Software,registry error,Application Support
Security,ddos attack detect,Security Team
Network,network spoof attempt,Network Team
Network,isp outage,Network Team
Software,plugin loading,Application Support
Security,suspicious compliance violation,Security Team
Network,network asymmetric routing,Network Team
Security,ransomware infection,Security Team
Hardware,laptop screen resolution error,Desktop Support
Software,application crash restore,Application Support
Access,account lockout,Desktop Support
Network,network gre tunnel failure,Network Team
Software,application crash compile,Application Support
Security,suspicious third - party compromise,Security Team
Network,network ipsec tunnel failure,Network Team
Access,access deny compliance policy,Desktop Support
Network,network speed slow,Network Team
Hardware,laptop ram slot failure,Desktop Support
Hardware,laptop screen flickering,Desktop Support
Access,access deny endpoint policy,Desktop Support
Software,file format support,Application Support
Network,network alert storm,Network Team
Software,application respond,Application Support
Hardware,break hinge,Desktop Support
Software,application crash vm migration,Application Support
Hardware,laptop bio corrupt,Desktop Support
Network,network unauthorized device detect,Network Team
Access,access deny server,Desktop Support
Network,dhcp failure,Network Team
Security,botnet activity,Security Team
Hardware,desktop will n’t boot,Desktop Support
Network,vpn certificate expire,Network Team
Hardware,monitor flickering,Desktop Support
Software,driver conflict,Application Support
Security,suspicious admin activity,Security Team
Access,access deny vpn policy,Desktop Support
Hardware,motherboard failure,Desktop Support
Network,network bridge failure,Network Team
Security,suspicious mac spoof,Security Team
Network,dns resolution problem,Network Team
Software,application cpu overload,Application Support
Hardware,laptop screen dim,Desktop Support
Access,access deny cloud service,Desktop Support
Network,ethernet port disable,Network Team
Hardware,tablet screen crack,Desktop Support
Access,access delegation error,Desktop Support
Software,application crash debug,Application Support
Software,file corruption,Application Support
Security,suspicious login location,Security Team
Hardware,printer paper jam,Desktop Support
Network,network monitor tool failure,Network Team
Hardware,projector bulb failure,Desktop Support
Security,suspicious powershell script,Security Team
Security,suspicious pci violation,Security Team
Network,proxy authentication error,Network Team
Software,application crash test,Application Support
Software,application crash disconnect,Application Support
Hardware,laptop gpu detect,Desktop Support
Network,network ips alert,Network Team
Software,license issue,Application Support
Access,access deny encryption policy,Desktop Support
Security,zero - day exploit,Security Team
Network,broadcast storm,Network Team
Security,suspicious memory dump,Security Team
Network,bridge mode error,Network Team
Hardware,mouse issue,Desktop Support
Network,network pat misconfigured,Network Team
Software,software timeout,Application Support
Software,application crash run,Application Support
Hardware,keyboard key stick,Desktop Support
Network,network dns server,Network Team
Hardware,scanner detect,Desktop Support
Security,firewall intrusion alert,Security Team
Security,suspicious cloud login,Security Team
Hardware,laptop fan noise,Desktop Support
Software,memory leak detect,Application Support
Hardware,external hdd mount,Desktop Support
Network,vpn connection failure,Network Team
Hardware,laptop microphone working,Desktop Support
Access,inactive account,Desktop Support
Security,suspicious supply chain attack,Security Team
Security,suspicious sox violation,Security Team
Hardware,laptop speaker distortion,Desktop Support
Network,network mpls misconfigure,Network Team
Security,suspicious scada alert,Security Team
Access,account disabled policy,Desktop Support
Network,duplicate ip detect,Network Team
Hardware,laptop screen line,Desktop Support
Security,suspicious contractor compromise,Security Team
Network,captive portal issue,Network Team
Software,unsupported operating system version,Application Support
Security,suspicious cis violation,Security Team
Software,application deadlock,Application Support
Network,network eigrp misconfigured,Network Team
Hardware,ram failure,Desktop Support
Network,network jitter,Network Team
Network,network port scanning detect,Network Team
Software,application startup failure,Application Support
Software,background process stick,Application Support
Security,sql injection attempt,Security Team
Hardware,laptop screen brightness issue,Desktop Support
Security,email spoofing detect,Security Team
Hardware,overheat cpu,Desktop Support
Network,latency spike,Network Team
Software,application crash update,Application Support
Security,suspicious hypervisor activity,Security Team
Software,version incompatibility,Application Support
Security,suspicious network scan,Security Team
Network,network vlan misconfigure,Network Team
Hardware,laptop trackpad jitter,Desktop Support
Hardware,laptop screen invert color,Desktop Support
Hardware,mouse double - click issue,Desktop Support
Hardware,power supply failure,Desktop Support
Security,cloud misconfiguration,Security Team
Access,access control list misconfigure,Desktop Support
Security,suspicious hipaa violation,Security Team
Software,application crash service call,Application Support
Security,suspicious vendor compromise,Security Team
Security,unpatched vulnerability,Security Team
Access,access deny maintenance window,Desktop Support
Security,suspicious exfiltration detect,Security Team
Access,certificate login failure,Desktop Support
Network,network ospf misconfigured,Network Team
Access,access timeout,Desktop Support
Security,suspicious ip spoof,Security Team
Security,suspicious gdpr violation,Security Team
Hardware,graphic card overheat,Desktop Support
Hardware,laptop screen dead pixel,Desktop Support
Hardware,hard drive crash,Desktop Support
Security,suspicious activity detect,Security Team
Hardware,laptop motherboard short circuit,Desktop Support
Security,suspicious driver installation,Security Team
Hardware,laptop screen crack,Desktop Support
Security,usb device block,Security Team
Network,weak signal strength,Network Team
Access,unauthorized login attempt,Desktop Support
Security,suspicious service startup,Security Team
Software,update rollback issue,Application Support
Hardware,laptop overheat shutdown,Desktop Support
Network,network ntp server unreachable,Network Team
Network,network compliance violation,Network Team
Network,network segmentation error,Network Team
Software,application crash extension,Application Support
Software,authentication error,Application Support
Software,ide opening,Application Support
Network,network default gateway miss,Network Team
Access,access deny nist policy,Desktop Support
Software,application crash,Application Support
Security,expose database,Security Team
Access,access approval pende,Desktop Support
Hardware,laptop screen frozen image,Desktop Support
Software,application crash workflow,Application Support
Software,application crash backup,Application Support
Access,kerberos ticket expire,Desktop Support
Hardware,docking station recognize,Desktop Support
Security,suspicious packet injection,Security Team
Hardware,monitor dead pixel,Desktop Support
Access,access deny device compliance,Desktop Support
Access,access deny vendor policy,Desktop Support
Security,suspicious backdoor detect,Security Team
Hardware,bio error,Desktop Support
Software,application license expire,Application Support
Hardware,laptop screen burn - in,Desktop Support
Software,application crash report,Application Support
Hardware,touchpad respond,Desktop Support
Software,application crash visualization,Application Support
Hardware,hardware driver miss,Desktop Support
Access,access deny byod policy,Desktop Support
Software,patch update fail,Application Support
Access,access deny token policy,Desktop Support
Access,access deny dlp policy,Desktop Support
Software,application crash vm boot,Application Support
Security,suspicious kernel activity,Security Team
Network,unstable wireless connection,Network Team
Access,email account disable,Desktop Support
Access,access deny geolocation policy,Desktop Support
Access,access revocation pende,Desktop Support
Access,access deny mfa policy,Desktop Support
Software,application crash connect,Application Support
Hardware,laptop screen backlight failure,Desktop Support
Software,container deployment error,Application Support
Hardware,laptop screen ghost,Desktop Support
Security,ransomware alert,Security Team
Hardware,ram issue,Desktop Support
Software,software update failure,Application Support
Network,dns resolution failure,Network Team
Security,malware detect,Security Team
Hardware,overheat device,Desktop Support
Network,vpn tunnel drop,Network Team
Network,switch port,Network Team
Hardware,keyboard respond,Desktop Support
Access,password reset failure,Desktop Support
Access,single sign - on error,Desktop Support
Software,license expire,Application Support
Access,mfa working,Desktop Support
Network,slow network speed,Network Team
Security,datum exfiltration attempt,Security Team
Hardware,hard drive failure,Desktop Support
Software,api timeout,Application Support
Security,brute force attack,Security Team
Access,vpn access issue,Desktop Support
Security,phishe email detect,Security Team
Category,description,Assigned_Team
Hardware,webcam recognize,Desktop Support
Network,wi - fi authentication failure,Network Team
Software,cloud storage sync error,Application Support
Access,token validation error,Desktop Support
Hardware,battery drain fast,Desktop Support
Access,role permission mismatch,Desktop Support
Network,proxy misconfiguration,Network Team
Hardware,dock station failure,Desktop Support
Hardware,printer detect,Desktop Support
Network,dhcp server unresponsive,Network Team
Security,certificate spoof,Security Team
Security,zero - day exploit detect,Security Team
Access,privileged access misuse,Desktop Support
Software,report generation failure,Application Support
Access,directory sync failure,Desktop Support
Access,guest account expire,Desktop Support
Software,broken ui update,Application Support
Security,insider threat alert,Security Team
Network,bgp route flapping,Network Team
Hardware,post - maintenance report : blue screen hardware fault observe,Desktop Support
Access,post - maintenance report : access deny auditor policy observe,Desktop Support
Software,system flag application crash logout diagnostic initiate,Application Support
Security,remote user experience email spoofing detect vpn session active,Security Team
Security,incident log : suspicious endpoint alert await assignment,Security Team
Security,third - party vendor notify suspicious gdpr violation,Security Team
Security,post - maintenance report : suspicious port knock observe,Security Team
Access,ticket raise access deny partner policy team notify,Desktop Support
Access,access deny gateway detect workstation team dispatch,Desktop Support
Network,user submit ticket network configuration drift via self - service portal,Network Team
Security,sla breach risk due malicious macro detect escalate,Security Team
Software,post - maintenance report : application startup failure observe,Application Support
Hardware,system flag laptop screen color distortion diagnostic initiate,Desktop Support
Software,third - party vendor notify application crash vm snapshot,Application Support
Hardware,multiple user affect laptop screen white screen priority raise,Desktop Support
Software,on - site technician assign application crash vm migration,Application Support
Software,multiple user affect ide opening priority raise,Application Support
Security,user unable proceed due suspicious cookie theft,Security Team
Hardware,system flag docking station failure diagnostic initiate,Desktop Support
Security,sla breach risk due keylogger detect escalate,Security Team
Access,access deny system error issue escalate department head,Desktop Support
Network,remote user experience dns resolution failure vpn session active,Network Team
Software,user unable proceed due container deployment error,Application Support
Software,system flag application crash export diagnostic initiate,Application Support
Hardware,automate alert trigger laptop overheat shutdown,Desktop Support
Security,on - site technician assign cross - site scripting detect,Security Team
Access,access timeout impact business operation,Desktop Support
Security,system flag suspicious login location diagnostic initiate,Security Team
Security,incident log : suspicious rat detect await assignment,Security Team
Hardware,third - party vendor notify laptop will not power,Desktop Support
Network,system flag dns resolution failure diagnostic initiate,Network Team
Security,ticket raise suspicious process execution team notify,Security Team
Security,sla breach risk due botnet activity escalate,Security Team
Network,sla breach risk due proxy server misconfiguration escalate,Network Team
Network,vpn tunnel drop issue escalate department head,Network Team
Network,sla breach risk due network subnet mask error escalate,Network Team
Hardware,help desk receive complaint laptop screen cable loose review,Desktop Support
Network,user unable proceed due network default gateway miss,Network Team
Hardware,laptop screen ghost image impact business operation,Desktop Support
Network,system flag network ntp server unreachable diagnostic initiate,Network Team
Security,unauthorized api call detect workstation team dispatch,Security Team
Hardware,bios error detect workstation team dispatch,Desktop Support
Access,login issue confirm system scan,Desktop Support
Software,help desk receive complaint application crash visualization review,Application Support
Software,remote user experience api call failure vpn session active,Application Support
Software,department manager flag unsupported operating system version critical,Application Support
Network,user unable proceed due switch port,Network Team
Hardware,laptop screen line impact business operation,Desktop Support
Hardware,help desk receive complaint bio error review,Desktop Support
Hardware,remote user experience laptop screen orange tint vpn session active,Desktop Support
Software,post - maintenance report : software update failure observe,Application Support
Access,access monitoring disable confirm system scan,Desktop Support
Security,incident log : suspicious vm activity await assignment,Security Team
Hardware,printer paper jam detect workstation team dispatch,Desktop Support
Hardware,third - party vendor notify printer detect,Desktop Support
Security,user unable proceed due zero - day exploit detect,Security Team
Software,automate alert trigger application crash uninstall,Application Support
Software,remote user experience application crash update vpn session active,Application Support
Security,sla breach risk due suspicious iso violation escalate,Security Team
Access,ticket raise account provision error team notify,Desktop Support
Network,user submit ticket load balancer misconfigure via self - service portal,Network Team
Software,help desk receive complaint application crash library review,Application Support
Access,user submit ticket access deny firewall via self - service portal,Desktop Support
Hardware,user submit ticket fan noise issue via self - service portal,Desktop Support
Software,sla breach risk due application crash sync escalate,Application Support
Hardware,post - maintenance report : laptop screen line observe,Desktop Support
Network,user unable proceed due network speed slow,Network Team
Software,third - party vendor notify patch update fail,Application Support
Network,sla breach risk due qos misconfigured escalate,Network Team
Hardware,user unable proceed due overheat device,Desktop Support
Software,system flag collaboration tool login failure diagnostic initiate,Application Support
Security,on - site technician assign suspicious session hijack,Security Team
Hardware,multiple user affect motherboard capacitor blow priority raise,Desktop Support
Security,compromise credential issue escalate department head,Security Team
Software,incident log : authentication error await assignment,Application Support
Hardware,desktop will not boot issue escalate department head,Desktop Support
Software,multiple user affect file format support priority raise,Application Support
Security,incident log : suspicious mobile device alert await assignment,Security Team
Access,user unable proceed due access deny casb policy,Desktop Support
Network,captive portal issue detect workstation team dispatch,Network Team
Software,multiple user affect mobile app instal priority raise,Application Support
Network,on - site technician assign network collision detect,Network Team
Software,user submit ticket application license expire via self - service portal,Application Support
Access,remote user experience share drive permission issue vpn session active,Desktop Support
Software,memory leak detect issue escalate department head,Application Support
Security,recur suspicious registry change report week,Security Team
Access,sla breach risk due share folder accessible escalate,Desktop Support
Hardware,multiple user affect laptop screen red tint priority raise,Desktop Support
Hardware,post - maintenance report : hard drive crash observe,Desktop Support
Software,on - site technician assign application crash extension,Application Support
Security,suspicious schedule task impact business operation,Security Team
Software,software timeout confirm system scan,Application Support
Access,post - maintenance report : privileged access misuse observe,Desktop Support
Hardware,user unable proceed due laptop screen driver miss,Desktop Support
Security,automate alert trigger suspicious backdoor detect,Security Team
Access,remote user experience access role mismatch vpn session active,Desktop Support
Network,incident log : gateway timeout await assignment,Network Team
Network,department manager flag network misroute traffic critical,Network Team
Network,remote user experience network dhcp server vpn session active,Network Team
Access,sla breach risk due access deny geolocation policy escalate,Desktop Support
Access,automate alert trigger access deny cis policy,Desktop Support
Software,incident log : patch update fail await assignment,Application Support
Security,suspicious kernel activity detect workstation team dispatch,Security Team
Network,dns resolution failure impact business operation,Network Team
Hardware,multiple user affect scanner calibration issue priority raise,Desktop Support
Security,automate alert trigger unauthorized access attempt,Security Team
Network,incident log : network unauthorized access await assignment,Network Team
Security,system flag suspicious soc alert diagnostic initiate,Security Team
Network,incident log : network driver outdate await assignment,Network Team
Network,rout loop impact business operation,Network Team
Software,user unable proceed due plugin loading,Application Support
Network,multiple user affect network nat misconfigure priority raise,Network Team
Access,access control list misconfigure impact business operation,Desktop Support
Hardware,on - site technician assign laptop speaker distortion,Desktop Support
Network,network ip address error issue escalate department head,Network Team
Software,post - maintenance report : antivirus update observe,Application Support
Network,automate alert trigger network ntp server unreachable,Network Team
Software,user unable proceed due update rollback issue,Application Support
Access,remote user experience access deny contractor policy vpn session active,Desktop Support
Software,application crash vm snapshot confirm system scan,Application Support
Access,incident log : access policy violation await assignment,Desktop Support
Access,department manager flag access deny mfa policy critical,Desktop Support
Software,post - maintenance report : ide opening observe,Application Support
Security,suspicious activity detect issue escalate department head,Security Team
Security,third - party vendor notify malware detect,Security Team
Software,sla breach risk due corrupted installation package escalate,Application Support
Hardware,on - site technician assign laptop overheat shutdown,Desktop Support
Network,department manager flag network ssl vpn failure critical,Network Team
Access,recur license expired report week,Desktop Support
Access,license expire detect workstation team dispatch,Desktop Support
Access,automate alert trigger access deny firewall,Desktop Support
Hardware,system flag power supply failure diagnostic initiate,Desktop Support
Security,user unable proceed due firewall intrusion alert,Security Team
Software,recur api call failure report week,Application Support
Software,third - party vendor notify application license expire,Application Support
Access,sla breach risk due access audit failure escalate,Desktop Support
Network,sla breach risk due ip conflict escalate,Network Team
Security,recur suspicious kernel activity report week,Security Team
Hardware,automate alert trigger laptop screen white screen,Desktop Support
Access,on - site technician assign access deny vpn policy,Desktop Support
Software,recur registry error report week,Application Support
Software,remote user experience application crash plugin vpn session active,Application Support
Security,user submit ticket suspicious packet injection via self - service portal,Security Team
Hardware,cd / dvd drive working confirm system scan,Desktop Support
Access,ticket raise access deny hipaa policy team notify,Desktop Support
Software,sla breach risk due application memory overflow escalate,Application Support
Hardware,desktop will not boot impact business operation,Desktop Support
Hardware,automate alert trigger peripheral compatibility issue,Desktop Support
Security,suspicious partner compromise impact business operation,Security Team
Access,sla breach risk due password reset escalate,Desktop Support
Hardware,department manager flag laptop screen refresh rate issue critical,Desktop Support
Security,sla breach risk due phishing attempt report escalate,Security Team
Hardware,multiple user affect laptop screen horizontal line priority raise,Desktop Support
Hardware,laptop gpu detect impact business operation,Desktop Support
Software,third - party vendor notify application crash connect,Application Support
Access,vpn login deny confirm system scan,Desktop Support
Network,network ddo detect confirm system scan,Network Team
Security,recur datum exfiltration attempt report week,Security Team
Access,multiple user affect access deny auditor policy priority raise,Desktop Support
Security,suspicious outbound traffic confirm system scan,Security Team
Security,botnet activity confirm system scan,Security Team
Software,cache corruption impact business operation,Application Support
Access,recur smart card recognize report week,Desktop Support
Security,automate alert trigger suspicious packet injection,Security Team
Hardware,multiple user affect laptop screen line priority raise,Desktop Support
Software,recur application crash library report week,Application Support
Hardware,on - site technician assign laptop screen hinge break,Desktop Support
Security,help desk receive complaint unauthorized access attempt review,Security Team
Security,remote user experience datum exfiltration attempt vpn session active,Security Team
Network,network rip misconfigured impacting business operation,Network Team
Hardware,user unable proceed due blue screen hardware fault,Desktop Support
Security,third - party vendor notify suspicious powershell script,Security Team
Access,on - site technician assign access deny network policy,Desktop Support
Network,on - site technician assign duplicate ip detect,Network Team
Access,third - party vendor notify access deny soc policy,Desktop Support
Security,third - party vendor notify suspicious hipaa violation,Security Team
Access,third - party vendor notify access deny vpn policy,Desktop Support
Access,sla breach risk due access deny dlp policy escalate,Desktop Support
Network,post - maintenance report : network unauthorized access observe,Network Team
Network,help desk receive complaint network cable damage review,Network Team
Network,network ddo detect detect workstation team dispatch,Network Team
Software,user submit ticket application crash backup via self - service portal,Application Support
Hardware,post - maintenance report : laptop keyboard backlight failure observe,Desktop Support
Network,ticket raise network driver outdate team notify,Network Team
Software,third - party vendor notify application startup failure,Application Support
Access,user unable proceed due access deny outage,Desktop Support
Network,user submit ticket network static route error via self - service portal,Network Team
Access,access deny rbac policy impact business operation,Desktop Support
Security,post - maintenance report : suspicious nist violation observe,Security Team
Access,post - maintenance report : access deny contractor policy observe,Desktop Support
Software,department manager flag application crash vm deployment critical,Application Support
Security,unauthorized usb access impact business operation,Security Team
Access,recur access deny guest policy report week,Desktop Support
Security,on - site technician assign suspicious memory dump,Security Team
Hardware,department manager flag tablet screen crack critical,Desktop Support
Network,sla breach risk due network dns server escalate,Network Team
Hardware,automate alert trigger laptop screen ghost,Desktop Support
